Data.Date,Demand..MW.
2017-05-08,15826.0
2017-05-09,15876.875
2017-05-10,15716.416666666666
2017-05-11,15629.916666666666
2017-05-12,15520.291666666666
2017-05-13,14698.416666666666
2017-05-14,14082.333333333334
2017-05-15,15675.166666666666
2017-05-16,16065.833333333334
2017-05-17,18033.166666666668
2017-05-18,20846.166666666668
2017-05-19,20698.291666666668
2017-05-20,15407.666666666666
2017-05-21,14443.875
2017-05-22,16219.958333333334
2017-05-23,16153.25
2017-05-24,16280.541666666666
2017-05-25,16194.625
2017-05-26,16167.166666666666
2017-05-27,14771.0
2017-05-28,14511.833333333334
2017-05-29,14767.666666666666
2017-05-30,16089.5
2017-05-31,16518.958333333332
2017-06-01,16887.458333333332
2017-06-02,16384.041666666668
2017-06-03,14814.625
2017-06-04,14741.125
2017-06-05,16578.25
2017-06-06,16176.541666666666
2017-06-07,15919.458333333334
2017-06-08,16230.791666666666
2017-06-09,16741.125
2017-06-10,17056.625
2017-06-11,19422.208333333332
2017-06-12,23528.833333333332
2017-06-13,24261.333333333332
2017-06-14,21246.708333333332
2017-06-15,18799.041666666668
2017-06-16,18344.375
2017-06-17,18017.916666666668
2017-06-18,19975.0
2017-06-19,22023.5
2017-06-20,20815.0
2017-06-21,20524.416666666668
2017-06-22,20572.583333333332
2017-06-23,22394.0
2017-06-24,20268.166666666668
2017-06-25,18402.416666666668
2017-06-26,19011.291666666668
2017-06-27,18436.416666666668
2017-06-28,18352.541666666668
2017-06-29,19552.333333333332
2017-06-30,21517.708333333332
2017-07-01,20067.583333333332
2017-07-02,19967.5
2017-07-03,21240.208333333332
2017-07-04,18925.958333333332
2017-07-05,20832.708333333332
2017-07-06,20545.791666666668
2017-07-07,20619.958333333332
2017-07-08,19518.416666666668
2017-07-09,18184.583333333332
2017-07-10,19836.083333333332
2017-07-11,22751.041666666668
2017-07-12,23810.0
2017-07-13,23616.583333333332
2017-07-14,19930.041666666668
2017-07-15,18906.291666666668
2017-07-16,19582.375
2017-07-17,22472.708333333332
2017-07-18,23380.791666666668
2017-07-19,24580.916666666668
2017-07-20,24893.708333333332
2017-07-21,24685.791666666668
2017-07-22,22143.333333333332
2017-07-23,20206.0
2017-07-24,19559.25
2017-07-25,17872.208333333332
2017-07-26,18510.458333333332
2017-07-27,19453.166666666668
2017-07-28,20684.125
2017-07-29,17285.625
2017-07-30,17239.5
2017-07-31,20941.375
2017-08-01,22673.625
2017-08-02,22399.5
2017-08-03,22348.458333333332
2017-08-04,22449.125
2017-08-05,19050.583333333332
